期号,开奖时间,开奖结果,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,红球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,绿球,,,,,,,,,,,
2011052,2011-05-07(六),,,,,,,,,,,,,13,,,,,,,,,,,24,,,,,,,31,32,33,,,,,3,,,,,,9,,,
2011053,2011-05-09(一),,,3,,,,,,,,,,,,,16,,,,,,,,,,,,28,,,31,32,,,,1,,,,,,,,9,,,
2011054,2011-05-11(三),,,,,5,,,,9,,,,,,,16,,,,,,,,,,26,,,,,,,,,35,,,3,,,,,,,10,,
2011055,2011-05-14(六),1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,31,32,,,35,,2,,,,,,,,10,,
2011056,2011-05-16(一),,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,29,30,31,,,,,,,,,,,,8,,10,,
2011057,2011-05-18(三),,,,,,,7,,,,11,,,,,,,,,,,,,,,,,,,30,31,,,34,,,,,,,,,,9,,,12
2011058,2011-05-21(六),1,,,,,,,,9,,,,,,,,,,,,,,,,,,27,,,,,32,33,,,,,3,,,6,,,,,,
2011059,2011-05-23(一),,,,,,,,,9,,,,,,,16,,,,,21,,,,,,,,29,,,,,34,,,,,,,,7,,,10,,
2011060,2011-05-25(三),,,3,,,,,,,,,,,,,,,,,,,,,,25,,,,29,,,32,,34,,,,,,,,,,9,10,,
2011061,2011-05-28(六),,,,,,6,7,,,,,,,,,16,,18,,20,,,,,,,,,,,,,,,,,,,4,,,,,,10,,
2011062,2011-05-30(一),,,,,,6,,,,10,,,,,,,17,,,20,21,,,,,,,,,,,,,,,,,3,,,,7,,,,,
2011063,2011-06-01(三),,,,,,,,,,10,,,,,,,17,18,,,,,,,,26,,,,,,32,,,,1,,,,5,,,,,,,
2011064,2011-06-04(六),1,,,,,6,,,,,,,,,,,,,,,,,,,,,27,,,30,,,,34,,1,,,,,6,,,,,,
2011065,2011-06-06(一),,,3,,,,,,,,11,,,14,,,,,,,,,,,25,,,,,,,,,34,,1,,,4,,,,,,,,
2011066,2011-06-08(三),,,,,,6,,,,,,,13,,,,,18,,20,,,,,,,,,,,,,33,,,,,,,,,,,9,10,,
2011067,2011-06-11(六),,,,,,,,,,10,,,,,,,17,,,,,22,,24,,,,,,,,32,,,,,,3,,,,,,,10,,
2011068,2011-06-13(一),1,,,,,,,,,,,,13,,,16,,18,,,,,,,,,,,,,,32,,,,,,,,,,7,,9,,,
2011069,2011-06-15(三),,,3,,5,,,,,,,,,,,,,,,,,,,,,,,28,29,,,,33,,,,,,4,,,,,,,,12
2011070,2011-06-18(六),,,,,,,,,9,,,,,,,,,,19,,,22,,,,,,,29,30,,,,,,,2,,,,,,8,,,,
2011071,2011-06-20(一),,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,31,,33,34,35,,,,4,,6,,,,,,
2011072,2011-06-22(三),,,3,,,,,,,,11,,13,,,,,,,20,,,,,,,,,,,,,,,35,,,3,,,,,8,,,,
2011073,2011-06-25(六),,,,,,,,,,,,,13,,,,,,19,20,,22,,,,,,,,,,,33,,,,,,,5,,,,,,11,
2011074,2011-06-27(一),,,,,,,7,,,,,,,,,16,,,,,,,23,,,,,28,,,31,,,,,,,3,,,6,,,,,,
2011075,2011-06-29(三),,,,,,6,,,9,,,,,,,,,,,20,,,23,,,,,28,,,,,,,,,,,,,6,,,,10,,
2011076,2011-07-02(六),,,,,,,,,,,,,,,,,,18,,,,,23,,25,,,,29,30,,,,,,1,2,,,,,,,,,,
2011077,2011-07-04(一),,,,,5,,,8,,,,,,,,,,,19,,,,,,,,,,,,,,33,34,,1,,,,,,,,,,,12
2011078,2011-07-06(三),,,,4,,,,,9,,,,,,,16,,,,,,,,,,,27,,,30,,,,,,,2,,,,6,,,,,,
2011079,2011-07-09(六),1,,3,,,,,,,,,,,,,,,,,,,,23,,,,,,,30,31,,,,,,2,,,,,,,,10,,
2011080,2011-07-11(一),,,,,5,,,,,,,12,,,,,,,,,,,,,,,,,,30,31,32,,,,1,,3,,,,,,,,,
2011081,2011-07-13(三),,,,4,,,,,,,,,13,,,,,,,20,21,,,,,,,,,,,,,,35,,2,,,,,,,9,,,
2011082,2011-07-16(六),,,,,,,7,,,,,,,,,,,,,20,,,,,25,,,,,30,,32,,,,,,,,5,,,,9,,,
2011083,2011-07-18(一),,,,,,6,,8,,,,,,,,,,18,,20,,,,24,,,,,,,,,,,,,,,4,,,,8,,,,
2011084,2011-07-20(三),,,,,,,,,,,,,,14,,,,,,,,,,,,,,,29,,31,,,34,35,1,,,,,,,,,,,12
2011085,2011-07-23(六),,2,,,,,,,,,,,,,,,17,,19,,21,22,,,,,,,,,,,,,,,,3,,,,,,,10,,
2011086,2011-07-25(一),,,,4,5,6,,,9,,,,,,15,,,,,,,,,,,,,,,,,,,,,1,,,,,6,,,,,,
2011087,2011-07-27(三),,,,,,6,,,,,,,13,,,,,,,20,,,,,25,,,,,,,,,34,,,,,,,,7,,9,,,
2011088,2011-07-30(六),,,,,,,,,,,,,,,,,,,,20,21,,,,,,27,,29,,,,,,35,,,3,,,,,8,,,,
2011089,2011-08-01(一),,,,,5,6,,,,,,,,,,,,,,,,,23,,,,27,,,,,,,34,,,,3,4,,,,,,,,
2011090,2011-08-03(三),,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,29,30,,,,34,,,,,,5,,,8,,,,
2011091,2011-08-06(六),,,,,,,,,,,11,,,,,,17,,,,,,23,,,,,,29,30,,,,,,,,,,,6,,8,,,,
2011092,2011-08-08(一),,,,,,,,,,10,,,,,,,17,,19,,,,,,,,,,,,,32,33,,,1,,,,,,,,,,,12
2011093,2011-08-10(三),,,,4,,6,,8,,,,,,,,,,,19,,,,,,,,,,,,31,,,,,,,,,,,,,,10,11,
2011094,2011-08-13(六),,,,,,,,,,,11,,,,,,,,,,21,22,,,,,,,,,,32,,34,,,,,4,,,,8,,,,
2011095,2011-08-15(一),,,,,,,,,9,,,12,,,,,17,,19,,,,,,,,,,29,,,,,,,,,,,,6,,,,,11,
2011096,2011-08-17(三),,,3,,,,,8,,,,,,,,,,,,20,,,,24,25,,,,,,,,,,,1,2,,,,,,,,,,
2011097,2011-08-20(六),,,,4,,,,,,,,,,,,,,,19,,,,,,,,,28,,,31,,33,,,,,,,,,,,,,11,12
2011098,2011-08-22(一),,,,,,6,7,,,,,,,,,,,,,,,,,,,,,28,,,,,33,,35,1,,,,,,,,,10,,
2011099,2011-08-24(三),,2,,,,6,,,9,,,12,,,,,,,,20,,,,,,,,,,,,,,,,,,,,5,,,8,,,,
2011100,2011-08-27(六),,,,,,,,8,,,11,,13,,,,,,,,,,,,,,,28,,,,,33,,,,,,,,,,8,9,,,
2011101,2011-08-29(一),,,,,5,,,,,,,12,,,,,,,,20,,,,,,,,28,,30,,,,,,,,3,,,,7,,,,,
2011102,2011-08-31(三),,,,,,,,,,,,,,,,,,,19,,,,,24,,,,28,,,31,,,34,,,,,4,,,,,,,,12
2011103,2011-09-03(六),,,3,4,,,,,,,,,,,,,,,,,,,,,,26,,,29,,,,,34,,1,,3,,,,,,,,,
2011104,2011-09-05(一),,,,,,,7,,,,,,,,,,,,19,,,,,,,,27,28,,,,,,34,,,2,,,5,,,,,,,
2011105,2011-09-07(三),,2,,,,,,,,,11,,,,,,,,,,,,,,,26,,,,,,32,33,,,,,,,5,,,,,,,12
2011106,2011-09-10(六),1,,,,,,,,9,,,,,,,,,,,,,,,,,,,,29,30,,,,,35,,,,,5,,,,9,,,
2011107,2011-09-12(一),,2,,,,6,,,,,,,,,,,,18,,,,,,,,,,,,30,,32,,,,1,,,,,,,8,,,,
2011108,2011-09-14(三),,,,,,,7,,,,,,,,15,,,18,,,,,,24,,,,28,,,,,,,,1,,,,,,7,,,,,
2011109,2011-09-17(六),1,,,,,,,,,,11,12,,,,,,,,,,22,,,,,,,,,,,,34,,,,,,,,,8,,10,,
2011110,2011-09-19(一),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,31,,33,34,35,,,,4,,,7,,,,,
2011111,2011-09-21(三),,2,,,,,,,,,11,,13,,,,,,,,,,23,,,,,,,,31,,,,,,,,,,,,,,,11,12
2011112,2011-09-24(六),,,,,,6,,,,,,,,,,,17,,,,,,,,,,,28,,,,32,33,,,,,,,,,,8,,,,12
2011113,2011-09-26(一),,,,4,5,,7,,,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,
2011114,2011-09-28(三),,,,,,6,,8,,,,,,,,,17,,,,,,,,,,27,,,,,,,,35,,2,,,,,,,,,11,
2011115,2011-10-01(六),,,,,,,,,,,,,,,,,17,,,,,,,,,26,,,,30,31,,,,35,,,,,,6,,,,,11,
2011116,2011-10-03(一),,,,,,,,,,10,,,,,15,,,18,19,,,,,,,26,,,,,,,,,,,,,,,,7,,,,,12
2011117,2011-10-05(三),,,,,,,,,,10,,12,,,,,,,,,,,,,,,,28,,,,32,33,,,,,3,,5,,,,,,,
2011118,2011-10-08(六),,,,4,,,7,,,,11,,,,,,,,,,,,,,,,,,,,,32,,,35,,,,,5,,7,,,,,
2011119,2011-10-10(一),,,,4,,,,,,,,,,,15,,,,,20,,,,,,26,,,,,31,,,,,,,,,,6,,,,,,12
2011120,2011-10-12(三),,,,,,,,,,,,,,,,,,,,20,,,,,25,26,,,,30,31,,,,,,,,,,,,,9,10,,
2011121,2011-10-15(六),,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,30,31,,33,,,,,3,,,,,,9,,,
2011122,2011-10-17(一),,,3,,,,,8,,,,,,,,,,,,,,,23,24,,,,,,,,,,34,,,,,,5,,,,,,,12
2011123,2011-10-19(三),,,,,,,,,,10,,,,14,,,,18,19,,,,,,,,,,,,,,,,35,1,,,,,6,,,,,,
2011124,2011-10-22(六),,,,,,,,8,,,,12,,14,,,,,,20,,,,,25,,,,,,,,,,,,,,,,6,,8,,,,
2011125,2011-10-24(一),,,,,,,7,,,10,,,,,,,,,,,,,,,,,27,,,,,,,34,35,,,,,,,,,,10,,12
2011126,2011-10-26(三),,,,,,,7,,,,,,,,,,17,,,,,,,,,,,,29,30,,,33,,,,,,,,,,,,10,,12
2011127,2011-10-29(六),1,,,,,,,,,,11,,,,,,,,,,,22,,,,26,,,29,,,,,,,,,,,5,,,8,,,,
2011128,2011-10-31(一),,,3,4,,6,,,,,11,,13,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,
2011129,2011-11-02(三),1,,,,,,7,,,,,,13,,,,,18,,,,,23,,,,,,,,,,,,,,,,4,,,,8,,,,
2011130,2011-11-05(六),,,,,,,,8,9,,,,13,,,,,,,,,,23,,,,,,,,,,,,35,,,,,,,,,,,11,12
2011131,2011-11-07(一),,,3,,5,,,,,,,12,,,,,,18,,,,,,,,,,,,,,,33,,,,,,,,,7,,,,11,
2011132,2011-11-09(三),,,,,,,,,,,,12,,14,,16,,,19,,,,,,,,,,,,,,33,,,,2,,,,,,,9,,,
2011133,2011-11-12(六),,,,4,,,,,,,11,,,,,,,,,,,,23,,,26,,,,,,,,,35,,,3,,,,,,,,,12
2011134,2011-11-14(一),1,,,,,,,,,10,,12,,14,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,
2011135,2011-11-16(三),,,,,,6,,,,,,,,,,,,,,,,22,,,,,,,29,,,,33,,35,,,3,,,,,,,,,12
2011136,2011-11-19(六),,,,,,,,8,9,,11,,,,,,,,19,,,,,,,,,,,,,,33,,,,,3,,,,,,,,,12
2011137,2011-11-21(一),,2,,,,,,,,,,,,,15,,,18,,,,,23,,,,,,,,31,,,,,1,2,,,,,,,,,,
2011138,2011-11-23(三),,,,,,,,,,,,,,,,,17,,,,,,23,,,26,,,,30,,32,,,,,,,,,6,,,,,,12
2011139,2011-11-26(六),,,,4,,6,,,,10,,,,,15,16,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,
2011140,2011-11-28(一),1,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,32,33,34,,,,,,,,,,9,,11,
2011141,2011-11-30(三),,2,,,,,,,,,11,,,,,,,,19,,,22,,,,,,,,,,,,,35,,,,,,,,,,10,,12
2011142,2011-12-03(六),,,,4,,,,,,,,,,,,,,,,,,,,,,26,,,,30,,,33,34,,,,,4,,6,,,,,,
2011143,2011-12-05(一),,,,,,,,8,9,,,12,,,,,,,,,,,,,25,,,,,,,,33,,,,,,,,,7,,,10,,
2011144,2011-12-07(三),,,,,,,7,,,,,,,,,,,18,,,,,,24,,,,28,,,,,33,,,,2,3,,,,,,,,,
2011145,2011-12-10(六),,,,,,,7,,,,,,,,15,,,,19,,,,,24,,,,,29,,,,,,,,,,4,,6,,,,,,
2011146,2011-12-12(一),,,,,,,,,9,,,,13,,,,,,19,,,,,,,,,,29,,,,,34,,,2,,,,,,,,,11,
2011147,2011-12-14(三),1,,,,,,,,,,,,,,15,16,,,,,,,,,,,27,28,,,,,,,,,2,,,,,7,,,,,
2011148,2011-12-17(六),,,,,,,7,,,10,11,,,,,,,,,,,,,,,26,,,,,31,,,,,,,3,4,,,,,,,,
2011149,2011-12-19(一),,2,,,,,7,,,,,12,,,,,,,,,,,,,,,,,29,,31,,,,,,,3,,5,,,,,,,
2011150,2011-12-21(三),,,,,,,,,,,,,13,,,,,,,,,22,,,,,,,,30,,,33,34,,,,,,,6,,,,,,12
2011151,2011-12-24(六),,,,,,,7,,,,11,,,14,,,,,,20,,,,,,,27,,,,,,,,,,,3,,,,,,,10,,
2011152,2011-12-26(一),1,,,4,,6,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,35,,2,,,,,,,,,11,
2011153,2011-12-28(三),,,,,,6,,,,,,,,,,,,,,,,22,,,,,,,29,30,,,,,35,,,3,,5,,,,,,,
2011154,2011-12-31(六),,,,4,,,,,,,,12,,,,16,,,,20,,,,,,,,28,,,,,,,,,,,,,,,8,,,11,
2012001,2012-01-02(一),,,,,,,7,,,,,,,,,,,,,,,,,,,,27,28,,,,32,33,,,1,,,,,,,,,,,12
2012002,2012-01-04(三),,,3,,,,,,,,11,,,14,,,,,,,,,,,,26,,,29,,,,,,,,,,,,,7,8,,,,
2012003,2012-01-07(六),,,,,,,,,,,,,,,,16,,,,,,22,,24,,,,,,,,,33,34,,,,3,,,,,,,10,,
2012004,2012-01-09(一),,,,,,,,,,10,11,,,,,,,,,,,22,,,,,,,,,31,32,,,,,,,,,6,7,,,,,
2012005,2012-01-11(三),1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,31,,33,,,,,,,,,7,,,,,12
2012006,2012-01-14(六),,,3,,,,,,,,,,,,,,,,,20,,22,,,25,,27,,,,,,,,,1,,,,,,,,9,,,
2012007,2012-01-16(一),,,,4,5,,,,,,,,13,,,,17,,,,,,,,25,,,,,,,,,,,,,,,,,7,,,10,,
2012008,2012-01-18(三),,,,,,6,,8,,,,,,,,,,,,,,,,,,,,,,30,31,32,,,,1,,,,,,,,,,11,
2012009,2012-01-21(六),,,,,,6,,,,,,,,14,,,,,,20,,,,,,,,,29,,,,,,35,,,,,,,,,9,10,,
2012010,2012-01-30(一),,,,,,,,,,,,,,,,,,,,,,,,,25,26,,,29,,,32,,34,,,,,,5,,7,,,,,
2012011,2012-02-01(三),,,,,5,,,,,,,,,,,,,,19,,,22,,,,,,,29,30,,,,,,,2,,4,,,,,,,,
2012012,2012-02-04(六),,,,,,6,,,,,,,,,,,,18,,,,22,,,,,,,,30,,,,,35,,2,,,,,7,,,,,
2012013,2012-02-06(一),,,,,,,7,8,,,11,12,,,,,,,,,,,,24,,,,,,,,,,,,1,2,,,,,,,,,,
2012014,2012-02-08(三),,,,,,,,,,10,,,,14,,,,,,,,,,24,,,,,,30,,32,,,,1,,,,,,,,,,,12
2012015,2012-02-11(六),,,,,,,,,,,,12,13,,,,,,,,,,,24,,26,,,,,,,33,,,,,,,,6,,8,,,,
2012016,2012-02-13(一),,,,,5,,,,,,,,,14,,,,,,20,,,,,,,,,29,,31,,,,,,,,,,,,8,,,,12
2012017,2012-02-15(三),,,,,,6,,,,,11,,,,,,,,,,,22,,,,,,,29,,,,,34,,,,3,,,,,,,,,12
2012018,2012-02-18(六),,,3,,,,,,,10,,,,14,,,,,,,,,,,,,,,29,,31,,,,,,,,4,,,,8,,,,
2012019,2012-02-20(一),,,,,,,7,,9,,,,,,,,17,,,,,,,,,,,,,30,,,,34,,1,,,,,,,,,,,12
2012020,2012-02-22(三),,,,,,,,,,,,12,,14,,,,,,,,,,,,,27,,29,,,,,34,,,,3,,,6,,,,,,
2012021,2012-02-25(六),,,,,,,,,,10,,,,,15,,,,,,21,,,,,,,,,,31,,,34,,,,,,,,7,8,,,,
2012022,2012-02-27(一),,,,,,,7,,,,,12,,,,,,,,20,,,,,,,,,,,,,33,,35,1,,,,,,,,,10,,
2012023,2012-02-29(三),,,,,,,7,,9,,,,,,,,17,,,,,,,,,,,,29,,,,,,35,,,,,,,,,9,10,,
2012024,2012-03-03(六),,,3,,,,,,,,11,,,,,,17,,,,21,,,,,,,,,30,,,,,,,,3,,,,7,,,,,
2012025,2012-03-05(一),1,2,,,5,,,,,,,12,,,,,,,,,,,,,,,27,,,,,,,,,,,,4,,,7,,,,,
2012026,2012-03-07(三),,,,,,,,,,10,11,,,,,,,,,,,22,23,,,,,,29,,,,,,,,2,,,,,,,9,,,
2012027,2012-03-10(六),,,3,,,,,,,10,11,,,,,,,,,,,22,,,,,,,,,31,,,,,,,,,5,,7,,,,,
2012028,2012-03-12(一),,,,,,,,,,10,,12,,,15,,,,,,,,,,,,,,,,,,33,34,,,,3,,,,,,,10,,
2012029,2012-03-14(三),,,,4,,,7,8,,,,,,,,,,18,,,,,,,,,,,29,,,,,,,,,,,,,7,,,10,,
2012030,2012-03-17(六),,,3,,,,,,,,,,,,,,,,,,21,22,,,,26,,,,,,32,,,,1,,3,,,,,,,,,
2012031,2012-03-19(一),,,,,,,,,,,,,,,,,,,19,,21,,23,,25,,,,,30,,,,,,,,3,,,,,8,,,,
2012032,2012-03-21(三),,,,,,,7,8,,,,,,,,16,,,,,,,,,,26,,,,,,,,34,,,,,,,,7,,,,11,
2012033,2012-03-24(六),,,,,,,,8,,,,,13,,,,,,19,,,,,,,,27,,,,,32,,,,1,,,,,,,8,,,,
2012034,2012-03-26(一),1,,,,,,,8,,,,,,,15,16,,,,,,,,,,,,,29,,,,,,,,,,,,,,8,9,,,
2012035,2012-03-28(三),1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,30,,32,,,35,,,,,,,,8,,,,12
2012036,2012-03-31(六),1,,,,,,,,9,,,,,,,,,,,20,,,,,,,,,,30,31,,,,,,,,,,,,8,,,,12
2012037,2012-04-02(一),,,,,,,,,9,,,,13,,,,,,,,,,,,,,27,,,,31,,,,35,,,3,,,,,,,10,,
2012038,2012-04-04(三),,,,,,,,,,,11,,,,,,,,,,,,23,,25,,,,,,31,,,,35,1,,3,,,,,,,,,
2012039,2012-04-07(六),,,,,,,,,,,,,,,15,,,,,,21,22,,24,,,,,,,,,,,35,1,,,,5,,,,,,,
2012040,2012-04-09(一),,2,,,,,,,,,,,13,,,,,,,,,,23,,,,,28,29,,,,,,,1,,,,5,,,,,,,
2012041,2012-04-11(三),1,2,,,,,,,,,,,13,,,,,,,,,22,23,,,,,,,,,,,,,,2,,,,,,,,10,,
2012042,2012-04-14(六),,,,,,,7,,,,,,,,,,,,,,,,,24,,,27,28,,,,,,,35,,,,,,,7,,,,,12
2012043,2012-04-16(一),1,,,,,6,,,,,,,,,,,,,,,,,,,25,,,,,,31,,,34,,,,3,,,,,,9,,,
2012044,2012-04-18(三),,,3,4,,,,,,,,,,14,,,,,,,,,,,,,,,,,,32,,,35,1,2,,,,,,,,,,
2012045,2012-04-21(六),,,,,5,,,,,,11,,,,,,17,,,20,,,,,,,,28,,,,,,,,,,,,,,,,,,11,12
2012046,2012-04-23(一),,,,4,,,,8,,,,,,,,,,,19,,,,23,,,,27,,,,,,,,,,,,4,,,,,,,11,
2012047,2012-04-25(三),,,,,5,,7,,,,,,,,,,17,,,,,,,,,,,,,30,,,,34,,,,3,,,,,,,10,,
2012048,2012-04-28(六),,,,,,6,,,9,,,,,,,,,,,,,,,,,26,,,,30,,,,,35,,,,,5,6,,,,,,
2012049,2012-04-30(一),,,,,,,,,9,,,,,,,,,18,,,,22,,,,,27,,,,31,,,,,,,,,,,,,,10,,12
2012050,2012-05-02(三),,,,,,,,,,,,,13,,,,17,,,,,22,,,,,,28,29,,,,,,,1,,,,,,,,,10,,
2012051,2012-05-05(六),1,2,,,,,,,,,,,,,,,17,18,,,,,,,,,,,,,,,33,,,,,,,5,,,,,,,12
2012052,2012-05-07(一),,,,,,,,,,10,,,,,,,,,,20,,,,,,26,,,,,31,,33,,,,,,,,,,,,10,,12
2012053,2012-05-09(三),,,,,,,,,,,11,12,,,,,,,,,,,,,,26,,28,,,31,,,,,,,,,,,7,,,,,12
2012054,2012-05-12(六),1,,,,,,,,,,,,,,,16,,18,,,,,,,,,27,,,30,,,,,,,,,,,,,,,10,11,
2012055,2012-05-14(一),,,,,,,7,,,,,,,,,,,,,,,22,,,,26,,,,,,32,33,,,1,,,,,,,8,,,,
2012056,2012-05-16(三),,,,,,,,,,,11,,,,,,,,,,21,,23,,,26,,,,,,,,34,,,,,,,,7,,9,,,
2012057,2012-05-19(六),1,2,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,33,34,,,,3,,5,,,,,,,
2012058,2012-05-21(一),,,,,,,,,,,,,13,,,,,,,,21,,,,,,,,29,,31,,,,35,,,,4,,,,,,,,12
2012059,2012-05-23(三),,,,,,,,,9,,,,13,,,,,,19,,21,,,,,,27,,,,,,,,,,,3,4,,,,,,,,
2012060,2012-05-26(六),,2,,,,,,,,,,,,,,16,,,,,21,,,24,,,,,,30,,,,,,,,,,,6,,,,10,,
2012061,2012-05-28(一),,,,,5,,,,,10,,,,14,,,,,,,,,,,,,27,,,,,,33,,,,,,,,,7,,9,,,
2012062,2012-05-30(三),,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,32,33,34,35,,,,,,,,8,9,,,
2012063,2012-06-02(六),,,,,,,,,,,11,,,,,,,,,,,,,,25,26,,,29,,,,,,35,1,2,,,,,,,,,,
2012064,2012-06-04(一),,,,,,,,,9,,,12,13,,15,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,9,10,,
2012065,2012-06-06(三),,,,,,,,,,10,,,,,,,,,,,,22,,,,,,28,29,,,,,34,,,,,,5,,,,,,11,
2012066,2012-06-09(六),1,,,,,,,,,,,,,,,,,,,20,,,,,25,,,,29,,,,33,,,,,,4,,6,,,,,,
2012067,2012-06-11(一),,,,,,,,,,,,,,,,,,,,20,,22,,,,,27,,,30,,,33,,,1,2,,,,,,,,,,
2012068,2012-06-13(三),1,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,31,32,,,35,,,3,,,6,,,,,,
2012069,2012-06-16(六),,2,,4,,,,,,,,,,,,,,,,,,22,,,25,,,,,,,,,34,,,2,,,,,,,,,11,
2012070,2012-06-18(一),,,,,,,,,9,,,,,,,,,,,,,22,23,,,,,,,,,32,,34,,,,,,,6,,8,,,,
2012071,2012-06-20(三),,,,,,,,,,,,,13,,,,,,,,,,23,,,,,,29,,31,,,34,,,,,,,6,,8,,,,
2012072,2012-06-23(六),,,,4,,,,8,,,,,,,,,17,,,,,22,,,25,,,,,,,,,,,,,,4,,,,,,10,,
2012073,2012-06-25(一),,,,,,,,,,,,,,,,,,18,,,,,23,,,,,,29,,,,33,34,,,2,,,,,7,,,,,
2012074,2012-06-27(三),,,,,,,,,,10,,,,,,,,,,,,22,23,,,,,,,30,,32,,,,1,,,,,,7,,,,,
2012075,2012-06-30(六),,,,,,,7,,9,10,,,,,,,,18,,,,22,,,,,,,,,,,,,,,,,,5,,,,,10,,
2012076,2012-07-02(一),,2,,,,,,,,,,,,14,,16,,,,,,22,,24,,,,,,,,,,,,,2,,,5,,,,,,,
2012077,2012-07-04(三),,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,30,,32,33,34,,,2,3,,,,,,,,,
2012078,2012-07-07(六),1,2,,,,,,,,,,,,,,,,,,,,,23,,25,,,,,,,,,,35,,,,,5,,,,,,,12
2012079,2012-07-09(一),1,,,,5,,,,,,,,,,,,,,,,,,,,25,,,,,,,32,33,,,1,,,,,,,,,10,,
2012080,2012-07-11(三),,,,,,,,,,,11,12,,14,,,,,,,,,,,25,,,28,,,,,,,,,2,,,5,,,,,,,
2012081,2012-07-14(六),,,,,,,,,,10,,,,,,16,17,,,,,,,,,,,,,30,,,,,35,1,,,,,,,8,,,,
2012082,2012-07-16(一),,2,,4,,,,,9,10,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,10,,
2012083,2012-07-18(三),,,,,,,,,,,,,,,,16,,,19,,,,,,,,,28,29,,31,,,,,,,,,5,,,8,,,,
2012084,2012-07-21(六),,,,,,,,,,,,,,,,,,,,,21,,,24,,,27,,29,,31,,,,,1,2,,,,,,,,,,
2012085,2012-07-23(一),,,,,,,7,,,,,,,,,,,18,,,,,,,,,,,29,,31,,33,,,,,,,,,,,,10,,12
2012086,2012-07-25(三),,,3,,,,,,,,,,,,,,,,,20,,,,,25,,,,29,,,32,,,,,,,,5,,,,,10,,
2012087,2012-07-28(六),1,,,,,6,7,,,,,,,,,,,,,,21,,,,,,,,,,31,,,,,,,,4,,,,,,,11,
2012088,2012-07-30(一),,,,,,,,,,,,,13,,,,17,,,,,,,24,,,,,,30,,,,,35,,2,,,,,,,,10,,
2012089,2012-08-01(三),,,,,,6,,,,,,12,,,,,,,,,21,,,,,,,,29,,,32,,,,,,,,,6,,,,,11,
2012090,2012-08-04(六),,2,,,,,,,,,,,,,,,,,,,21,,,,,,27,,29,,,,33,,,,2,,,,,,,,10,,
2012091,2012-08-06(一),,,3,,,,,,,10,,,,,,,,,,,,,,,,,,28,,,31,,33,,,1,,,,,,,,9,,,
2012092,2012-08-08(三),,,,,,,,8,9,,,,,,,,,,,,,,23,,25,,,,,,31,,,,,,2,,,,,,,,,,12
2012093,2012-08-11(六),,2,,,,,,,,,,,,,,16,,,,,21,,,,,,,,,,31,,33,,,,,,4,,,,,,,11,
2012094,2012-08-13(一),,2,,,,,,,,,,,,14,,,,,,,,,23,,,,,,,,,32,,,35,1,,,,,,,,,10,,
2012095,2012-08-15(三),,,,,,6,,,9,,,,,,,,,,,,,22,,,,,27,,,30,,,,,,,,,,,,,8,,,,12
2012096,2012-08-18(六),,,,,5,,,,,10,,,,,,,,,19,,,,,24,,,,,,,,,,,35,,,,,,,,8,9,,,
2012097,2012-08-20(一),,,,,,,,,9,,,,,,,,17,,,,,,,24,,,,,29,,,32,,,,1,2,,,,,,,,,,
2012098,2012-08-22(三),,2,,,,,,,,,11,,,,,,,,,,,,,,,,,28,29,30,,,,,,,,,,,6,,,,,,12
2012099,2012-08-25(六),,,,,,,,,,,,12,,,,,,18,,,,,,24,25,,,,,,,32,,,,,2,,,,,,,,,,12
2012100,2012-08-27(一),,,,,,,7,,9,,,,13,,,,,,19,,,,,,,,27,,,,,,,,,1,,3,,,,,,,,,
2012101,2012-08-29(三),,2,,,5,,,8,9,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,3,,,,7,,,,,
2012102,2012-09-01(六),,2,,4,,6,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,35,,,,4,,,,8,,,,
2012103,2012-09-03(一),,2,,,,,,,9,,,,,,,,,18,,,,,23,24,,,,,,,,,,,,1,,,4,,,,,,,,
2012104,2012-09-05(三),,,,,,,,,,,,,,,,16,,18,,,,,,24,25,,27,,,,,,,,,,,,4,,,,,9,,,
